DATA_TYPE COF
VERSION Tekscan Pressure Measurement System 7.60-32C
HARDWARE 102-I875
MAP_VERSION 6.5
HW_TYPE 3
VersaPogoFsx 0
VersaV6CuffFsx 0
FILENAME C:\Tekscan\BPMS Research\Nov 2 Data\cole_driving.fsx
SENSOR_TYPE 5315
ROWS 42
COLS 48
ROW_SPACING 1.016 centimeters
COL_SPACING 1.016 centimeters
SENSEL_AREA 1.03226 cm2
NOISE_THRESHOLD 3
SECONDS_PER_FRAME 0.1
MICRO_SECOND 1
TIME 11/2/2018 1:46:08.83PM
SATURATION_PRESSURE 77.9716 mmHg 
CALIBRATION_POINT_1 170 (Pounds) 179700 (Raw Sum) 1704 (Number of Loaded Cells)
CALIBRATION_MODE_1 Point
CALIBRATION_INFO C:\Tekscan\BPMS Research\Nov 2 Data\cole_driving.fsx
SENSITIVITY S-28
MAP_INDEX 0
SUBMAP 0
START_FRAME 1
END_FRAME 5971
COMMENTS Frame, Time, (Absolute Time), Row (cm), Col (cm), Raw Sum
ASCII_DATA @@

1, 0, 11/2/2018 1:46:08.83PM, 23.64, 27.98, 136309
2, 0.1, 11/2/2018 1:46:08.93PM, 23.63, 27.98, 136365
3, 0.2, 11/2/2018 1:46:09.03PM, 23.62, 27.99, 136252
4, 0.3, 11/2/2018 1:46:09.13PM, 23.62, 28.00, 136448
5, 0.4, 11/2/2018 1:46:09.23PM, 23.62, 28.01, 136601
6, 0.5, 11/2/2018 1:46:09.33PM, 23.61, 28.02, 136704
7, 0.6, 11/2/2018 1:46:09.43PM, 23.61, 28.01, 136778
8, 0.7, 11/2/2018 1:46:09.53PM, 23.60, 28.02, 136813
9, 0.8, 11/2/2018 1:46:09.63PM, 23.60, 28.02, 136943
10, 0.9, 11/2/2018 1:46:09.73PM, 23.60, 28.02, 137084
11, 1, 11/2/2018 1:46:09.83PM, 23.60, 28.03, 137211
12, 1.1, 11/2/2018 1:46:09.93PM, 23.60, 28.03, 137301
13, 1.2, 11/2/2018 1:46:10.03PM, 23.60, 28.03, 137448
14, 1.3, 11/2/2018 1:46:10.13PM, 23.60, 28.04, 137598
15, 1.4, 11/2/2018 1:46:10.23PM, 23.60, 28.03, 137665
16, 1.5, 11/2/2018 1:46:10.33PM, 23.59, 28.04, 137789
17, 1.6, 11/2/2018 1:46:10.43PM, 23.60, 28.04, 137860
18, 1.7, 11/2/2018 1:46:10.53PM, 23.59, 28.04, 137901
19, 1.8, 11/2/2018 1:46:10.63PM, 23.60, 28.05, 137953
20, 1.9, 11/2/2018 1:46:10.73PM, 23.59, 28.05, 137769
21, 2, 11/2/2018 1:46:10.83PM, 23.59, 28.05, 137624
22, 2.1, 11/2/2018 1:46:10.93PM, 23.58, 28.05, 137525
23, 2.2, 11/2/2018 1:46:11.03PM, 23.57, 28.06, 137465
24, 2.3, 11/2/2018 1:46:11.13PM, 23.56, 28.07, 137468
25, 2.4, 11/2/2018 1:46:11.23PM, 23.54, 28.07, 137243
26, 2.5, 11/2/2018 1:46:11.33PM, 23.54, 28.07, 137404
27, 2.6, 11/2/2018 1:46:11.43PM, 23.55, 28.07, 137663
28, 2.7, 11/2/2018 1:46:11.53PM, 23.55, 28.07, 137793
29, 2.8, 11/2/2018 1:46:11.63PM, 23.55, 28.07, 137868
30, 2.9, 11/2/2018 1:46:11.73PM, 23.55, 28.07, 137998
31, 3, 11/2/2018 1:46:11.83PM, 23.55, 28.07, 138159
32, 3.1, 11/2/2018 1:46:11.93PM, 23.55, 28.07, 138189
33, 3.2, 11/2/2018 1:46:12.03PM, 23.55, 28.07, 138160
34, 3.3, 11/2/2018 1:46:12.13PM, 23.54, 28.07, 138186
35, 3.4, 11/2/2018 1:46:12.23PM, 23.54, 28.07, 138036
36, 3.5, 11/2/2018 1:46:12.33PM, 23.54, 28.07, 137910
37, 3.6, 11/2/2018 1:46:12.43PM, 23.53, 28.08, 137947
38, 3.7, 11/2/2018 1:46:12.53PM, 23.54, 28.08, 138081
39, 3.8, 11/2/2018 1:46:12.63PM, 23.54, 28.08, 137985
40, 3.9, 11/2/2018 1:46:12.73PM, 23.53, 28.08, 137911
41, 4, 11/2/2018 1:46:12.83PM, 23.53, 28.08, 137933
42, 4.1, 11/2/2018 1:46:12.93PM, 23.54, 28.08, 138046
43, 4.2, 11/2/2018 1:46:13.03PM, 23.54, 28.07, 138070
44, 4.3, 11/2/2018 1:46:13.13PM, 23.54, 28.08, 138196
