rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,tire_press_lf,tire_press_rf,tire_press_rr_orr,tire_press_lr_olr,tire_press_rr_irr,tire_press_lr_ilr
1541191795630603101,,1181,,1541191795,630449417,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191796130637865,,1182,,1541191796,130525843,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191796631082637,,1183,,1541191796,630730464,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191797130644127,,1184,,1541191797,130513963,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191797632019359,,1185,,1541191797,631856643,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191798131563340,,1186,,1541191798,131437717,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191798632330480,,1187,,1541191798,632205778,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191799130852520,,1188,,1541191799,130632520,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191799632124991,,1189,,1541191799,632000116,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191800130816128,,1190,,1541191800,130669811,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191800631795414,,1191,,1541191800,631627416,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191801131625987,,1192,,1541191801,131445826,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191801631051160,,1193,,1541191801,630950628,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191802131017714,,1194,,1541191802,130801092,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191802632503342,,1195,,1541191802,632299902,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191803131952466,,1196,,1541191803,131807306,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191803631958418,,1197,,1541191803,631833128,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191804131912976,,1198,,1541191804,131819507,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191804632400173,,1199,,1541191804,632279069,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191805132241150,,1200,,1541191805,132066318,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191805632349300,,1201,,1541191805,632224576,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191806132077265,,1202,,1541191806,131923357,'',32.0,29.0,33.0,34.0,255.0,255.0
1541191806633462488,,1203,,1541191806,633324359,'',32.0,29.0,33.0,34.0,255.0,255.0
