DATA_TYPE COF
VERSION Tekscan Pressure Measurement System 7.60-32C
HARDWARE 102-I875
MAP_VERSION 6.5
HW_TYPE 3
VersaPogoFsx 0
VersaV6CuffFsx 0
FILENAME C:\Tekscan\BPMS Research\Nov 2 Data\cole2.fsx
SENSOR_TYPE 5315
ROWS 42
COLS 48
ROW_SPACING 1.016 centimeters
COL_SPACING 1.016 centimeters
SENSEL_AREA 1.03226 cm2
NOISE_THRESHOLD 3
SECONDS_PER_FRAME 0.1
MICRO_SECOND 1
TIME 11/2/2018 3:30:55.73PM
SATURATION_PRESSURE 96.1635 mmHg 
CALIBRATION_POINT_1 170 (Pounds) 145705 (Raw Sum) 1688 (Number of Loaded Cells)
CALIBRATION_MODE_1 Point
CALIBRATION_INFO C:\Tekscan\BPMS Research\Nov 2 Data\cole2.fsx
SENSITIVITY S-28
MAP_INDEX 0
SUBMAP 0
START_FRAME 1
END_FRAME 3719
COMMENTS Frame, Time, (Absolute Time), Row (cm), Col (cm), Raw Sum
ASCII_DATA @@

1, 0, 11/2/2018 3:30:55.73PM, 23.41, 26.80, 124898
2, 0.1, 11/2/2018 3:30:55.83PM, 23.26, 27.35, 122560
3, 0.2, 11/2/2018 3:30:55.93PM, 23.06, 27.95, 121644
4, 0.3, 11/2/2018 3:30:56.03PM, 23.04, 28.11, 123159
5, 0.4, 11/2/2018 3:30:56.13PM, 23.03, 27.79, 123566
6, 0.5, 11/2/2018 3:30:56.23PM, 23.05, 27.32, 123454
7, 0.6, 11/2/2018 3:30:56.33PM, 23.17, 26.96, 125854
8, 0.7, 11/2/2018 3:30:56.43PM, 23.16, 27.03, 128552
9, 0.8, 11/2/2018 3:30:56.53PM, 23.12, 27.44, 128263
10, 0.9, 11/2/2018 3:30:56.63PM, 23.23, 27.44, 131097
11, 1, 11/2/2018 3:30:56.73PM, 23.38, 27.21, 131677
12, 1.1, 11/2/2018 3:30:56.83PM, 23.31, 27.19, 132346
13, 1.2, 11/2/2018 3:30:56.93PM, 23.29, 27.21, 133141
14, 1.3, 11/2/2018 3:30:57.03PM, 23.22, 27.40, 133073
15, 1.4, 11/2/2018 3:30:57.13PM, 23.12, 27.49, 131369
16, 1.5, 11/2/2018 3:30:57.23PM, 23.08, 27.31, 133557
17, 1.6, 11/2/2018 3:30:57.33PM, 23.09, 27.24, 133908
18, 1.7, 11/2/2018 3:30:57.43PM, 23.01, 27.57, 131734
19, 1.8, 11/2/2018 3:30:57.53PM, 22.95, 27.81, 130781
20, 1.9, 11/2/2018 3:30:57.63PM, 22.89, 27.94, 130861
21, 2, 11/2/2018 3:30:57.73PM, 22.88, 27.98, 130936
22, 2.1, 11/2/2018 3:30:57.83PM, 22.84, 27.71, 131538
23, 2.2, 11/2/2018 3:30:57.93PM, 22.74, 27.61, 128914
24, 2.3, 11/2/2018 3:30:58.03PM, 22.75, 27.80, 130576
25, 2.4, 11/2/2018 3:30:58.13PM, 22.74, 27.68, 132173
26, 2.5, 11/2/2018 3:30:58.23PM, 22.78, 27.62, 134259
27, 2.6, 11/2/2018 3:30:58.33PM, 22.73, 27.59, 132312
28, 2.7, 11/2/2018 3:30:58.43PM, 22.66, 27.51, 130726
29, 2.8, 11/2/2018 3:30:58.53PM, 22.71, 27.44, 130884
30, 2.9, 11/2/2018 3:30:58.63PM, 22.88, 27.17, 132993
31, 3, 11/2/2018 3:30:58.73PM, 23.16, 26.85, 133123
32, 3.1, 11/2/2018 3:30:58.83PM, 23.49, 26.72, 136439
33, 3.2, 11/2/2018 3:30:58.93PM, 23.69, 26.66, 139510
34, 3.3, 11/2/2018 3:30:59.03PM, 24.00, 27.05, 138894
35, 3.4, 11/2/2018 3:30:59.13PM, 23.98, 27.61, 137260
36, 3.5, 11/2/2018 3:30:59.23PM, 23.73, 28.08, 132819
37, 3.6, 11/2/2018 3:30:59.33PM, 23.64, 28.22, 132220
38, 3.7, 11/2/2018 3:30:59.43PM, 23.61, 28.26, 132472
39, 3.8, 11/2/2018 3:30:59.53PM, 23.63, 28.14, 134444
40, 3.9, 11/2/2018 3:30:59.63PM, 23.67, 27.83, 135705
41, 4, 11/2/2018 3:30:59.73PM, 23.69, 27.45, 135433
42, 4.1, 11/2/2018 3:30:59.83PM, 23.67, 27.29, 135480
43, 4.2, 11/2/2018 3:30:59.93PM, 23.60, 27.57, 132417
44, 4.3, 11/2/2018 3:31:00.03PM, 23.46, 28.28, 128689
